SN,SMT ID,IMIS ID,"New LAC 
 [ After De-limitation ]","Block
 [ After Delimitation ]",GP,Type,Scheme Type,Name of Scheme,SO NAME,Contractor Name,FHTC Target as per TS / DPR,FHTC Achieved,Sub-Division,"Work Status 
[ as per JJM Brain as on 10-08-2026 ]","Operational Status as per JJM Brain 
[ as on 10-08-2026 ]",PWSS Operational Status as per FIELD,"Work will be resolve / done by
[ For Partially or Non Operative PWSS ]","Estimate Prepared or Not
[ For Partially or Non Operative PWSS ]","Whether AA Accorded
[ For Partially or Non Operative PWSS ]","Work Allotted or Not
[ For Partially or Non Operative PWSS ]",Estimate Amount [ in Rs. ],If Work Allotted - Name of the Contractor,Work Status for making the PWSS functional [ Not Started / Ongoing / Halted / Completed ],Remarks,Specific Reason from JJM Brain / Issue,Tariff Collection,Issue will Resolve by / Action Taken,"Physical progress (in %) as per IMIS
 [ 30-06-2026 ]",Estimate provided under SOPD,"Estimate Amount to SOPD
 [ in Rs ]"
685,16799,30183382,DOOMDOOMA,DOOMDOOMA,GAVARUBHETI,NEW,NON TEA GARDEN,SITALPUR GAON NEPALI CHUCK PWSS,NIHA,M/s Shri Ohm Construction,350,205,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: YES,Estimated Submitted to P&RD - Work Ongoing,100,,
686,16801,30158466,DOOMDOOMA,DOOMDOOMA,GAVARUBHETI,NEW,NON TEA GARDEN,SONAPUR DEORI PWSS,NIHA,Jyoti Prasad Sarma,157,143,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,NO,42147,,,,,Tariff Collection: NO,,100,,
687,17710,30183726,DOOMDOOMA,DOOMDOOMA,KAKAJAN,NEW,TEA GARDEN SCHEME,TARA T.E. 2/10/53 WL PWSS,PUBALI,Prasanta Gohain,228,228,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,83495,JUGITA SAIKIA MORAN,Completed,,,Tariff Collection: NO,,100,,
688,11898,30217185,DOOMDOOMA,DOOMDOOMA,KAKAJAN,NEW,TEA GARDEN SCHEME,TARA TE 12 No Line PWSS,PUBALI,SRI JAYANTA KHAUND,238,201,DIGBOI,HANDED_OVER,PARTIALLY_OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,75682,Jugita Saikia Moran,Ongoing,,Leakage in Distribution Line,Tariff Collection: NO,,100,,
689,11893,30217190,DOOMDOOMA,DOOMDOOMA,KAKAJAN,NEW,TEA GARDEN SCHEME,TARA TE 6 No Pucca Line PWSS,PUBALI,SRI JAYANTA KHAUND,225,105,DIGBOI,HANDED_OVER,PARTIALLY_OPERATIVE,Partially Operative,P&RD - 15 FC,ON PROCESS,NO,NO,,,,,Leakage in Distribution Line,Tariff Collection: NO,,100,,
690,11895,30217201,DOOMDOOMA,DOOMDOOMA,KAKAJAN,NEW,TEA GARDEN SCHEME,TARA TE 7 No Pucca Line PWSS,PUBALI,SRI JAYANTA KHAUND,260,260,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,191235,Jugita Saikia Moran,Ongoing,,,Tariff Collection: NO,,100,,
691,17712,30183742,DOOMDOOMA,DOOMDOOMA,KAKAJAN,NEW,TEA GARDEN SCHEME,TARA TE Factory Staff Line PWSS,PUBALI,Prasanta Gohain,149,149,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,75877,MANAS ENTERPRISE,Ongoing,,,Tariff Collection: NO,,28,,
692,17716,30183754,DOOMDOOMA,DOOMDOOMA,KAKAJAN,NEW,TEA GARDEN SCHEME,TARA TE Special Line PWSS,PUBALI,Prasanta Gohain,195,195,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,136246,MANAS ENTERPRISE,Completed,,,Tariff Collection: NO,,100,,
696,17668,30183944,DOOMDOOMA,DOOMDOOMA,BORDUBI,NEW,TEA GARDEN SCHEME,TENGALINE PWSS,PUBALI,Prasanta Gohain,191,191,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,60,,
697,11875,30217252,DOOMDOOMA,DOOMDOOMA,GAVARUBHETI,NEW,NON TEA GARDEN,TONGANI SONJAN N.C PWSS,NIHA,SRI JAYANTA KHAUND,266,198,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,39112,Rajesh Mahato,Not Started,,,Tariff Collection: NO,,50,,
698,16809,30184993,DOOMDOOMA,DOOMDOOMA,GAVARUBHETI,NEW,NON TEA GARDEN,TONGANI SUNJAN NO-1 PWSS,NIHA,M/s Shri Ohm Construction,100,91,DIGBOI,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,44,,
748,10914,30044877,DOOMDOOMA,DOOMDOOMA,DAISAJAN,NEW,NON TEA GARDEN,BOR RUPAI GAON PWSS,SUMU,M/S Puna Hinda,726,493,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,25,,
749,10920,30056931,DOOMDOOMA,DOOMDOOMA,DOIDAM,NEW,TEA GARDEN SCHEME,DAIDAM T.E. 135-138 WL PWSS,ASIF,M/S Nunu Enterprise,382,345,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,70,,
750,10921,30020812,DOOMDOOMA,DOOMDOOMA,DOIDAM,NEW,TEA GARDEN SCHEME,DAIDAM T.E. 38 WL PWSS,ASIF,M/S PURBVATTAR ENTERPRISE,601,266,TINSUKIA,HANDED_OVER,PARTIALLY_OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,153441,SUBRAT NEOG,Completed,,Leakage in Distribution Line,Tariff Collection: NO,,100,,
751,10922,30216876,DOOMDOOMA,DOOMDOOMA,DOIDAM,NEW,TEA GARDEN SCHEME,DAIDAM T.E. 561/7 WL PWSS,ASIF,M/s Shri Ohm Construction,297,237,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,80,,
752,17738,30213065,DOOMDOOMA,DOOMDOOMA,DAISAJAN,NEW,NON TEA GARDEN,DAISA BALIJAN NO.2 PWSS,SUMU,M/s Shri Ohm Construction,186,159,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,28,,
753,10915,30060570,DOOMDOOMA,DOOMDOOMA,DAISAJAN,NEW,TEA GARDEN SCHEME,DAISA GAON PWSS,SUMU,M/S PURBVATTAR ENTERPRISE,466,241,TINSUKIA,HANDED_OVER,PARTIALLY_OPERATIVE,Non Operative,P&RD - 15 FC,YES,YES,YES,186003,AMAL TANTI,Ongoing,The Scheme was partially operative due to leakages but recently due to panel board issue it became non functional. ,Electrical Fault in the Starter,Tariff Collection: NO,,78,,
754,17739,30042180,DOOMDOOMA,DOOMDOOMA,DAISAJAN,NEW,TEA GARDEN SCHEME,DAISA T.E. 13/9(A) PWSS,SUMU,M/S Maindeor Enterprise,136,134,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: YES,,100,,
755,17736,30018522,DOOMDOOMA,DOOMDOOMA,DAISAJAN,NEW,TEA GARDEN SCHEME,DAISAJAN T.E. 13-14-22-15 PWSS,SUMU,M/S Maindeor Enterprise,151,130,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
758,10916,30044602,DOOMDOOMA,DOOMDOOMA,DAISAJAN,NEW,NON TEA GARDEN,HALLOWKHOWA GAON PWSS,SUMU,M/S Capital Enterprise,278,231,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,CONTRACTOR - Work Not Started,100,,
764,10923,30216959,DOOMDOOMA,DOOMDOOMA,DOIDAM,NEW,TEA GARDEN SCHEME,PABHAJAN T.E. 219 WL PWSS,ASIF,M/S Capital Enterprise,341,109,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,Estimates Already send under SOPD to HQ,100,YES,1314018
765,17763,30011040,DOOMDOOMA,DOOMDOOMA,DOIDAM,NEW,TEA GARDEN SCHEME,PABHAJAN T.E.220-218 PWSS,ASIF,Md. Abidur Ali,308,281,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
766,10924,30216996,DOOMDOOMA,DOOMDOOMA,DOIDAM,NEW,TEA GARDEN SCHEME,PAVAJAN T.E. 137-130-129-124 PWSS,ASIF,M/S Puna Hinda,734,461,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,99,,
767,17748,30125782,DOOMDOOMA,DOOMDOOMA,DAISAJAN,NEW,TEA GARDEN SCHEME,RUPAI T.E. 232-230 NLR PWSS,SUMU,Sandeep Kumar Agarwal,125,119,TINSUKIA,HANDED_OVER,NON_OPERATIVE,Non Operative,P&RD - 15 FC,YES,YES,YES,135525,AMAL TANTI,Ongoing,,Feeder cable (AB) damage,Tariff Collection: NO,,38,,
768,10918,30217093,DOOMDOOMA,DOOMDOOMA,DAISAJAN,NEW,TEA GARDEN SCHEME,RUPAI T.E. 246-244 NLR PWSS,SUMU,M/S Soumya Nirman And Construction Pvt. Ltd.,274,201,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,35,,
769,10919,30217123,DOOMDOOMA,DOOMDOOMA,DAISAJAN,NEW,TEA GARDEN SCHEME,DOIMUKHIA T.E LINE NO.12 PWSS [RUPAI T.E. 265 NLR (RUPAI T.E. 265-540 W)],SUMU,M/S Soumya Nirman And Construction Pvt. Ltd.,249,212,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,22,,
770,17753,30200233,DOOMDOOMA,DOOMDOOMA,DAISAJAN,NEW,TEA GARDEN SCHEME,RUPAI T.E. 38-32 WLA PWSS,SUMU,Diganta Gogoi,191,178,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,75,,
771,17761,30200251,DOOMDOOMA,DOOMDOOMA,DAISAJAN,NEW,TEA GARDEN SCHEME,RUPAI TE 182 WL PWSS,SUMU,Kalyan Chetia,202,202,TINSUKIA,HANDED_OVER,PARTIALLY_OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,203720,NOMITA CHUTIA HAZARIKA,Ongoing,Allotted by ZP,Pipeline Damage due to PWD road construction or Augmentation,Tariff Collection: NO,,100,,
772,10917,30036192,DOOMDOOMA,DOOMDOOMA,DAISAJAN,NEW,TEA GARDEN SCHEME,RUPAI TE. 233-231 NLR PWSS,SUMU,M/S Nunu Enterprise,406,388,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: YES,,100,,
861,1934,8176111,DOOMDOOMA,DOOMDOOMA,BANDARKHATI,RETROFITTING,TEA GARDEN SCHEME,BANDARKHATI NO.1 PWSS,SUMU,MONUJ KUMAR,239,239,TINSUKIA,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,NO,NO,NO,,,,,,Tariff Collection: YES,Estimated Submitted to P&RD - Work Ongoing,100,,
862,1950,8177294,DOOMDOOMA,DOOMDOOMA,DOIMUKHIA,RETROFITTING,NON TEA GARDEN,BISAKUPIE GAON PWSS,ASIF,M/S S.K. ASSOCIATES,232,311,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,74,,
863,1986,8176977,DOOMDOOMA,DOOMDOOMA,TIPUK,RETROFITTING,NON TEA GARDEN,OUGURI PWSS,ASIF,BRIGHT SOLAR LTD,290,331,TINSUKIA,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,82145,Subrata Neog,Completed,"Repairing work inside campus completed under 15th finanace Additional mainline was damaged due to PWD road widning ,so estimate of 1646165.00 has been sent to PWD on 28/07/26",,Tariff Collection: NO,,100,,
864,5865,8235860,DOOMDOOMA,DOOMDOOMA,MANKHOWA,RETROFITTING,NON TEA GARDEN,FATIKJAN GAON PWSS,ASIF,M/S Soumya Nirman And Construction Pvt. Ltd.,636,469,TINSUKIA,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,79307,BISHNU RAI GHATUWAR,Ongoing,,,Tariff Collection: NO,,100,,
941,2022,8176780,DOOMDOOMA,DOOMDOOMA,RONGAJAN,RETROFITTING,NON TEA GARDEN,UPAR TALAP NO.2 PWSS,PARASHMONI,M/S SHREE SHYAM CONSTRUCTION & SUPPLIERS,108,108,DIGBOI,HANDED_OVER,NON_OPERATIVE,Non Operative,P&RD - 15 FC,ON PROCESS,NO,NO,,,,,Electrical fault in panel board:Pipeline damage (other third parties),Tariff Collection: NO,,100,,
942,4667,6537094,DOOMDOOMA,DOOMDOOMA,KOOMSANG,RETROFITTING,NON TEA GARDEN,CHELLENGURI PWSS,PARASHMONI,SRI DHIRU KAMAL NEOG,148,148,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,P&RD - 15 FC,YES,YES,YES,296154,Bikram chowra,Ongoing,,,Tariff Collection: YES,,100,,
943,4706,6524214,DOOMDOOMA,DOOMDOOMA,RONGAJAN,RETROFITTING,NON TEA GARDEN,NAGAON PWSS,PARASHMONI,M/S S.K. ASSOCIATES,137,137,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,74211,Jyoti karmakar,Completed,,,Tariff Collection: NO,,75,,
944,5252,8230454,DOOMDOOMA,DOOMDOOMA,RONGAJAN,RETROFITTING,NON TEA GARDEN,ATHENGIA PWSS,PARASHMONI,SRI DHIRU KAMAL NEOG,80,80,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,100,,
947,5242,8230625,DOOMDOOMA,DOOMDOOMA,RONGAJAN,RETROFITTING,NON TEA GARDEN,RANGAJAN PWSS,PARASHMONI,SRI DHIRU KAMAL NEOG,89,100,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,74133,Umesh Kurmi,Completed,,,Tariff Collection: NO,,66,,
948,5239,8230639,DOOMDOOMA,DOOMDOOMA,KOOMSANG,RETROFITTING,NON TEA GARDEN,RUMAI GAVARU PWSS,PARASHMONI,PANKAJ DAS,90,90,DIGBOI,HANDED_OVER,NON_OPERATIVE,Non Operative,P&RD - 15 FC,ON PROCESS,NO,NO,,,,,Electrical fault in panel board:Pipeline damage (other third parties),Tariff Collection: NO,,30,,
951,9031,8236886,DOOMDOOMA,DOOMDOOMA,KOOMSANG,RETROFITTING,NON TEA GARDEN,GOIPANI PWSS,PARASHMONI,PANKAJ DAS,104,103,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,NO,105054,,,,,Tariff Collection: YES,,100,,
954,31741,30222948,DOOMDOOMA,DOOMDOOMA,RONGAJAN,RETROFITTING,NON TEA GARDEN,RAJAGARH PWSS,PARASHMONI,M/S S.K. ASSOCIATES,,,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,86328,Jyoti karmakar,Ongoing,,,Tariff Collection: NO,,67,,
1010,1970,8176332,DOOMDOOMA,DOOMDOOMA,KAKAJAN,RETROFITTING,NON TEA GARDEN,KAKOJAN PART-I PWSS,PUBALI,Sri PRASENJIT PHUKAN,91,91,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,84203,Jugita Saikia Moran,Ongoing,,,Tariff Collection: NO,,100,,
1011,1983,8176948,DOOMDOOMA,DOOMDOOMA,GAVARUBHETI,RETROFITTING,NON TEA GARDEN,MORAN GAON PWSS,NIHA,PANKAJ DAS,74,81,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: YES,,100,,
1012,1991,8176975,DOOMDOOMA,DOOMDOOMA,GAVARUBHETI,RETROFITTING,NON TEA GARDEN,PHILLOBARI PWSS,NIHA,PANKAJ DAS,59,64,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,67,,
1013,2014,8176572,DOOMDOOMA,DOOMDOOMA,KAKAJAN,RETROFITTING,NON TEA GARDEN,PITHAGUTI GAON NO.1 PWSS,PUBALI,M/S LANDMARK ENGINEERING,238,238,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,P&RD - 15 FC,YES,YES,YES,227182,Jugita Saikia Moran,Ongoing,,,Tariff Collection: YES,,100,,
1014,5247,8229567,DOOMDOOMA,DOOMDOOMA,KAKAJAN,RETROFITTING,NON TEA GARDEN,KAKOJAN PART-II PWSS,PUBALI,BIMAL DEORI,97,97,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,79602,Jugita Saikia Moran,Completed,,,Tariff Collection: YES,,100,,
1016,5104,8236861,DOOMDOOMA,DOOMDOOMA,GAVARUBHETI,RETROFITTING,NON TEA GARDEN,PHILLOBARI 10 PWSS,NIHA,PANKAJ DAS,189,189,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,44211,Pankaj Das,Ongoing,,,Tariff Collection: NO,,100,,
1017,5848,8229534,DOOMDOOMA,DOOMDOOMA,GAVARUBHETI,RETROFITTING,NON TEA GARDEN,ROBORTOLI PWSS,NIHA,LALIT SAIKIA,130,132,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,ON PROCESS,NO,NO,,,,,,Tariff Collection: NO,,100,,
1018,5871,8230602,DOOMDOOMA,DOOMDOOMA,MANKHOWA,RETROFITTING,NON TEA GARDEN,MANKHOWA PWSS,PARASHMONI,M/S S.D SALES,107,106,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,ON PROCESS,NO,NO,,,,,,Tariff Collection: NO,,100,,
1019,9030,8236885,DOOMDOOMA,DOOMDOOMA,GAVARUBHETI,RETROFITTING,NON TEA GARDEN,GOURIPUR PWSS,NIHA,PANKAJ DAS,88,88,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,P&RD - 15 FC,ON PROCESS,NO,NO,,,,,,Tariff Collection: NO,,29,,
1020,9033,8236888,DOOMDOOMA,DOOMDOOMA,GAVARUBHETI,RETROFITTING,NON TEA GARDEN,PHILLOBARI NO.18 PWSS,NIHA,PANKAJ DAS,129,129,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,40236,Pankaj Das,Ongoing,,,Tariff Collection: NO,,78,,
1021,9034,8236889,DOOMDOOMA,DOOMDOOMA,GAVARUBHETI,RETROFITTING,NON TEA GARDEN,PHILOBARI NO 2 PWSS,NIHA,PANKAJ DAS,138,138,DIGBOI,HANDED_OVER,NON_OPERATIVE,Non Operative,SOPD,YES,NO,NO,2496757,,,,Pipeline damage (other third parties):Issue in Deep Tube Well (DTW) for Retrofitting Schemes,Tariff Collection: NO,,100,,
1,10793,30077460,MAKUM,MAKUM,GUIJAN,NEW,NON TEA GARDEN,BALIJAN GAON PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,469,517,TINSUKIA,HANDED_OVER,PARTIALLY_OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,83324,DHIRUKAMAL NEOG,,,Pipeline damage (other third parties):Leakage in Distribution Line,Tariff Collection: NO,Estimated Submitted to P&RD - Work Ongoing,100,,
3,10825,30077479,MAKUM,MAKUM,KHAMTIGUALI,NEW,TEA GARDEN SCHEME,DINJAN T.E. 106 F.C(B) PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,294,294,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,99618,TUSHAR SHARMA,,,,Tariff Collection: NO,,100,,
4,16901,30045415,MAKUM,MAKUM,KHAMTIGUALI,NEW,TEA GARDEN SCHEME,DINJAN TE. 2 NO.F.S(A)NLR PWSS,ANINDITA,M/s Surya International,265,291,TINSUKIA,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,ON PROCESS,NO,NO,,,,,,Tariff Collection: NO,,100,,
5,10887,30077727,MAKUM,MAKUM,KHAMTIGUALI,NEW,TEA GARDEN SCHEME,DINJAN TE.2 NO.F.S (B) PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,496,479,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
6,10790,30077748,MAKUM,MAKUM,GOTTONG,NEW,TEA GARDEN SCHEME,GELAPUKHURI TE.NO-266 PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,287,209,TINSUKIA,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
7,10806,30217186,MAKUM,MAKUM,GOTTONG,NEW,NON TEA GARDEN,GOTONG PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,367,215,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,90,,
8,10888,30077482,MAKUM,MAKUM,KHAMTIGUALI,NEW,TEA GARDEN SCHEME,KHAMTI GOHALI T.E 106 NO.F.S(B) PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,520,183,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,96165,DHIRUKAMAL NEOG,,,,Tariff Collection: NO,,100,,
9,10889,30077488,MAKUM,MAKUM,KHAMTIGUALI,NEW,TEA GARDEN SCHEME,KHAMTIGOHALI T.E.NO 111 1-2 NLR GT PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,232,173,TINSUKIA,ONGOING,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,70,,
10,22506,30222133,MAKUM,MAKUM,GOTTONG,NEW,TEA GARDEN SCHEME,LIMBUGURI PWSS,ANINDITA,Dulal Chandra Roy,128,130,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: YES,,100,,
11,16878,30222130,MAKUM,MAKUM,GOTTONG,NEW,TEA GARDEN SCHEME,LIMBUGURI T.E.151-148 NLR.GT. PWSS,ANINDITA,Nortech Power Projects Pvt. Ltd.,179,179,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,36390,SUBRATA NEOG,Completed,,,Tariff Collection: NO,,100,,
12,16881,30085557,MAKUM,MAKUM,GOTTONG,NEW,TEA GARDEN SCHEME,LIMBUGURI T.E.152-149- NLR PWSS,ANINDITA,M/S Kaatskill Engineering Works,234,234,TINSUKIA,HANDED_OVER,OPERATIVE,Non Operative,P&RD - 15 FC,ON PROCESS,,,,,,,,Tariff Collection: NO,,39,,
13,10792,30077476,MAKUM,MAKUM,GOTTONG,NEW,TEA GARDEN SCHEME,LIMBUGURI T.E.225-227 NLR.GT. PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,254,252,TINSUKIA,HANDED_OVER,PARTIALLY_OPERATIVE,Fully Operative,,,,,,,,,Pipeline damage (other third parties),Tariff Collection: NO,,75,,
14,16883,30200394,MAKUM,MAKUM,GOTTONG,NEW,TEA GARDEN SCHEME,LIMBUGURI T.E.NO-98 DARKHASTA PWSS,ANINDITA,Nortech Power Projects Pvt. Ltd.,396,396,TINSUKIA,HANDED_OVER,NON_OPERATIVE,Non Operative,P&RD - 15 FC,YES,YES,YES,31688,Panchayat Vendor/ Dhiru,Not Started,,Voltage or Load Issues,Tariff Collection: NO,,85,,
15,10890,30075906,MAKUM,MAKUM,KHAMTIGUALI,NEW,TEA GARDEN SCHEME,NALANI T.E. 187-190 NLR. PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,296,290,TINSUKIA,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,83537,DHIRUKAMAL NEOG,,,,Tariff Collection: NO,,59,,
16,16903,30011507,MAKUM,MAKUM,KHAMTIGUALI,NEW,TEA GARDEN SCHEME,NALANI T.E. 94-97 NLR PWSS,ANINDITA,Rijul Bawa,220,220,TINSUKIA,HANDED_OVER,NON_OPERATIVE,Non Operative,P&RD - 15 FC,ON PROCESS,,,,,,,Inactive Jal Mitra,Tariff Collection: NO,,20,,
17,10891,30077493,MAKUM,MAKUM,KHAMTIGUALI,NEW,TEA GARDEN SCHEME,NALANI T.E. NO-111 FS. PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,367,296,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,74463,DHIRUKAMAL NEOG,,,,Tariff Collection: NO,,50,,
18,16905,30039738,MAKUM,MAKUM,KHAMTIGUALI,NEW,TEA GARDEN SCHEME,NALANI T.E. NO-7 WLA. PWSS,ANINDITA,M/S D. G. Enterprise,265,311,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,Completed,,,Tariff Collection: NO,,100,,
19,16906,30014832,MAKUM,MAKUM,KHAMTIGUALI,NEW,TEA GARDEN SCHEME,NALANI T.E.NO 188-189-185-186 NLR PWSS,ANINDITA,VISHAL BAHETI,311,311,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,47917,SUBRATA NEOG,Completed,,,Tariff Collection: NO,,37,,
20,16893,30040244,MAKUM,MAKUM,GUIJAN,NEW,NON TEA GARDEN,NALANIHULA GAON PWSS,ATLANTA,Rijul Bawa,300,301,TINSUKIA,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,NO,,,,,,,,Tariff Collection: YES,,100,,
21,18041,30200853,MAKUM,MAKUM,GOTTONG,NEW,NON TEA GARDEN,Natun Rongagorah PWSS,ANINDITA,PRACHURYA NEOG,225,173,TINSUKIA,HANDED_OVER,NON_OPERATIVE,Non Operative,SOPD,YES,NO,,814946,,,,Pipeline Damage due to PWD road construction or Augmentation,Tariff Collection: NO,,100,,
22,10892,30075883,MAKUM,MAKUM,KHAMTIGUALI,NEW,TEA GARDEN SCHEME,RANGAGARAH T.E 18-179 PWSS,RAJDEEP,M/s Neccon Power & Infra Limited,547,306,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
128,22478,30218429,MAKUM,MAKUM,BAGHJAN,NEW,NON TEA GARDEN,BAGHJAN_GAON PWSS,ASIF,Navish Tulshyan,384,303,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,PHE Contractor - Under DLP,,,,,,,,,Tariff Collection: YES,,100,,
135,22495,30218098,MAKUM,MAKUM,BAGHJAN,NEW,NON TEA GARDEN,DAIMUKHIYA PT 1 PWSS,ASIF,Navish Tulshyan,109,30,TINSUKIA,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,70,,
140,17689,30190750,MAKUM,MAKUM,BAGHJAN,NEW,TEA GARDEN SCHEME,DAIMUKHIYA T.E. 84 WL PWSS,ASIF,Kalyan Chetia,199,232,TINSUKIA,HANDED_OVER,OPERATIVE,Fully Operative,P&RD - 15 FC,YES,YES,YES,214770,PROTIM SONOWAL ,Completed,,,Tariff Collection: NO,,100,,
